1
popSize bias beta 
4 0.2 0.2
290 0.0725155 -0.0725155  0.0177439 0.0118863
300 0.0725155 -0.0725155  0.0177439 0.0118863
310 0.0725155 -0.0725155  0.0177439 0.0118863
320 0.0725155 -0.0725155  0.0177439 0.0118863
330 0.0725155 -0.0725155  0.0177439 0.0118863
340 0.0725155 -0.0725155  0.0177439 0.0118863
350 0.0725155 -0.0725155  0.0177439 0.0118863
360 0.0725155 -0.0725155  0.0177439 0.0118863
370 0.0725155 -0.0725155  0.0177439 0.0118863
380 0.0725155 -0.0725155  0.0177439 0.0118863
390 0.0725155 -0.0725155  0.0177439 0.0118863
400 0.0725155 -0.0725155  0.0177439 0.0118863
410 0.0725155 -0.0725155  0.0177439 0.0118863
420 0.0725155 -0.0725155  0.0177439 0.0118863
430 0.0725155 -0.0725155  0.0177439 0.0118863
440 0.0725155 -0.0725155  0.0177439 0.0118863
450 0.0725155 -0.0725155  0.0177439 0.0118863
460 0.0725155 -0.0725155  0.0177439 0.0118863
470 0.0725155 -0.0725155  0.0177439 0.0118863
480 0.0725155 -0.0725155  0.0177439 0.0118863
490 0.0725155 -0.0725155  0.0177439 0.0118863
500 0.0725155 -0.0725155  0.0177439 0.0118863
10 4.28741 -4.28741  -0.733295 -0.38929
20 2.8132 -2.8132  0.0952855 -0.952795
30 2.8132 -2.8132  0.0952855 -0.952795
40 0.592821 -0.592821  -0.0324781 0.103403
50 0.592821 -0.592821  -0.0324781 0.103403
60 0.592821 -0.592821  -0.0324781 0.103403
70 0.592821 -0.592821  -0.0324781 0.103403
80 0.592821 -0.592821  -0.0324781 0.103403
90 0.592821 -0.592821  -0.0324781 0.103403
100 0.592821 -0.592821  -0.0324781 0.103403
110 0.592821 -0.592821  -0.0324781 0.103403
120 0.592821 -0.592821  -0.0324781 0.103403
130 0.592821 -0.592821  -0.0324781 0.103403
140 0.592821 -0.592821  -0.0324781 0.103403
150 0.592821 -0.592821  -0.0324781 0.103403
160 0.592821 -0.592821  -0.0324781 0.103403
170 0.592821 -0.592821  -0.0324781 0.103403
180 0.592821 -0.592821  -0.0324781 0.103403
190 0.592821 -0.592821  -0.0324781 0.103403
