1
popSize bias beta 
4 0.2 0.2
250 -19.1203 -0.088237  -8.11217 -9.73796
260 -19.1203 -0.088237  -8.11217 -9.73796
270 -19.1203 -0.088237  -8.11217 -9.73796
280 -19.1203 -0.088237  -8.11217 -9.73796
290 -19.1203 -0.088237  -8.11217 -9.73796
300 -19.1203 -0.088237  -8.11217 -9.73796
310 -19.1203 -0.088237  -8.11217 -9.73796
320 -19.1203 -0.088237  -8.11217 -9.73796
330 -19.1203 -0.088237  -8.11217 -9.73796
340 -19.1203 -0.088237  -8.11217 -9.73796
350 -19.1203 -0.088237  -8.11217 -9.73796
360 -19.1203 -0.088237  -8.11217 -9.73796
370 -19.1203 -0.088237  -8.11217 -9.73796
380 -19.1203 -0.088237  -8.11217 -9.73796
390 -19.1203 -0.088237  -8.11217 -9.73796
400 -19.1203 -0.088237  -8.11217 -9.73796
410 -19.1203 -0.088237  -8.11217 -9.73796
420 -19.1203 -0.088237  -8.11217 -9.73796
430 -19.1203 -0.088237  -8.11217 -9.73796
440 -19.1203 -0.088237  -8.11217 -9.73796
450 -19.1203 -0.088237  -8.11217 -9.73796
460 -19.1203 -0.088237  -8.11217 -9.73796
470 -19.1203 -0.088237  -8.11217 -9.73796
480 -19.1203 -0.088237  -8.11217 -9.73796
490 -19.1203 -0.088237  -8.11217 -9.73796
500 -19.1203 -0.088237  -8.11217 -9.73796
10 -4.84781 -14.3607  8.04834 5.37688
20 -5.36149 -13.847  8.04834 2.9133
30 -5.36149 -13.847  8.04834 2.9133
40 -8.29737 -10.9111  -4.12166 -9.87249
50 -8.29737 -10.9111  -4.12166 -9.87249
60 -8.29737 -10.9111  -4.12166 -9.87249
70 -8.29737 -10.9111  -4.12166 -9.87249
80 -8.29737 -10.9111  -4.12166 -9.87249
90 -8.29737 -10.9111  -4.12166 -9.87249
100 -9.17567 -10.0328  8.24101 6.69089
110 -9.17567 -10.0328  8.24101 6.69089
120 -9.17567 -10.0328  8.24101 6.69089
130 -9.17567 -10.0328  8.24101 6.69089
140 -9.17567 -10.0328  8.24101 6.69089
150 -17.832 -1.37654  8.24101 -9.32964
160 -17.832 -1.37654  8.24101 -9.32964
170 -17.832 -1.37654  8.24101 -9.32964
180 -17.832 -1.37654  8.24101 -9.32964
190 -17.832 -1.37654  8.24101 -9.32964
200 -17.832 -1.37654  8.24101 -9.32964
210 -17.832 -1.37654  8.24101 -9.32964
220 -17.832 -1.37654  8.24101 -9.32964
230 -17.832 -1.37654  8.24101 -9.32964
240 -17.832 -1.37654  8.24101 -9.32964
250 -17.832 -1.37654  8.24101 -9.32964
260 -17.832 -1.37654  8.24101 -9.32964
270 -17.832 -1.37654  8.24101 -9.32964
280 -17.832 -1.37654  8.24101 -9.32964
290 -17.832 -1.37654  8.24101 -9.32964
300 -17.832 -1.37654  8.24101 -9.32964
310 -17.832 -1.37654  8.24101 -9.32964
320 -17.832 -1.37654  8.24101 -9.32964
330 -17.832 -1.37654  8.24101 -9.32964
340 -17.832 -1.37654  8.24101 -9.32964
350 -17.832 -1.37654  8.24101 -9.32964
360 -17.832 -1.37654  8.24101 -9.32964
370 -17.832 -1.37654  8.24101 -9.32964
380 -17.832 -1.37654  8.24101 -9.32964
390 -17.832 -1.37654  8.24101 -9.32964
400 -17.832 -1.37654  8.24101 -9.32964
410 -17.832 -1.37654  8.24101 -9.32964
420 -17.832 -1.37654  8.24101 -9.32964
430 -17.832 -1.37654  8.24101 -9.32964
440 -17.832 -1.37654  8.24101 -9.32964
450 -17.832 -1.37654  8.24101 -9.32964
460 -17.832 -1.37654  8.24101 -9.32964
470 -18.4333 -0.775204  -8.07557 9.93564
480 -18.4333 -0.775204  -8.07557 9.93564
490 -18.4333 -0.775204  -8.07557 9.93564
500 -18.4333 -0.775204  -8.07557 9.93564
10 -4.94127 -14.2672  -9.87459 7.16499
20 -6.45717 -12.7513  -3.9603 -9.2333
30 -7.55792 -11.6506  7.53953 8.47727
40 -15.2669 -3.94158  7.53953 -9.2333
50 -15.2669 -3.94158  7.53953 -9.2333
60 -15.2669 -3.94158  7.53953 -9.2333
70 -15.2669 -3.94158  7.53953 -9.2333
80 -15.2669 -3.94158  7.53953 -9.2333
90 -18.6655 -0.542972  -8.26877 -9.75205
100 -18.6655 -0.542972  -8.26877 -9.75205
110 -18.6655 -0.542972  -8.26877 -9.75205
120 -18.6655 -0.542972  -8.26877 -9.75205
130 -18.6655 -0.542972  -8.26877 -9.75205
140 -18.6655 -0.542972  -8.26877 -9.75205
150 -18.6655 -0.542972  -8.26877 -9.75205
160 -18.6655 -0.542972  -8.26877 -9.75205
170 -18.6655 -0.542972  -8.26877 -9.75205
180 -18.6655 -0.542972  -8.26877 -9.75205
190 -18.6655 -0.542972  -8.26877 -9.75205
200 -18.6655 -0.542972  -8.26877 -9.75205
210 -18.6655 -0.542972  -8.26877 -9.75205
220 -18.6655 -0.542972  -8.26877 -9.75205
230 -18.6655 -0.542972  -8.26877 -9.75205
240 -18.6655 -0.542972  -8.26877 -9.75205
250 -18.6655 -0.542972  -8.26877 -9.75205
260 -18.6655 -0.542972  -8.26877 -9.75205
270 -18.6655 -0.542972  -8.26877 -9.75205
280 -18.6655 -0.542972  -8.26877 -9.75205
290 -18.6655 -0.542972  -8.26877 -9.75205
300 -18.6655 -0.542972  -8.26877 -9.75205
310 -18.6655 -0.542972  -8.26877 -9.75205
320 -18.6655 -0.542972  -8.26877 -9.75205
330 -18.6655 -0.542972  -8.26877 -9.75205
340 -18.6655 -0.542972  -8.26877 -9.75205
350 -18.6655 -0.542972  -8.26877 -9.75205
360 -18.6655 -0.542972  -8.26877 -9.75205
370 -18.6655 -0.542972  -8.26877 -9.75205
380 -18.6655 -0.542972  -8.26877 -9.75205
390 -18.6655 -0.542972  -8.26877 -9.75205
400 -18.6655 -0.542972  -8.26877 -9.75205
410 -18.6655 -0.542972  -8.26877 -9.75205
