1
popSize bias beta 
4 0.2 0.2
230 -4.1802 -0.0736908  -1.65201 -1.6348
240 -4.1802 -0.0736908  -1.65201 -1.6348
250 -4.1802 -0.0736908  -1.65201 -1.6348
260 -4.1802 -0.0736908  -1.65201 -1.6348
270 -4.1802 -0.0736908  -1.65201 -1.6348
280 -4.1802 -0.0736908  -1.65201 -1.6348
290 -4.1802 -0.0736908  -1.65201 -1.6348
300 -4.1802 -0.0736908  -1.65201 -1.6348
310 -4.1802 -0.0736908  -1.65201 -1.6348
320 -4.1802 -0.0736908  -1.65201 -1.6348
330 -4.1802 -0.0736908  -1.65201 -1.6348
340 -4.1802 -0.0736908  -1.65201 -1.6348
350 -4.1802 -0.0736908  -1.65201 -1.6348
360 -4.1802 -0.0736908  -1.65201 -1.6348
370 -4.1802 -0.0736908  -1.65201 -1.6348
380 -4.1802 -0.0736908  -1.65201 -1.6348
390 -4.1802 -0.0736908  -1.65201 -1.6348
400 -4.1802 -0.0736908  -1.65201 -1.6348
410 -4.1802 -0.0736908  -1.65201 -1.6348
420 -4.1802 -0.0736908  -1.65201 -1.6348
430 -4.1802 -0.0736908  -1.65201 -1.6348
440 -4.1802 -0.0736908  -1.65201 -1.6348
450 -4.1802 -0.0736908  -1.65201 -1.6348
460 -4.1802 -0.0736908  -1.65201 -1.6348
470 -4.1802 -0.0736908  -1.65201 -1.6348
480 -4.1802 -0.0736908  -1.65201 -1.6348
490 -4.1802 -0.0736908  -1.65201 -1.6348
500 -4.1802 -0.0736908  -1.65201 -1.6348
10 -2.7184 -1.53549  -1.20784 -1.11567
20 -3.6956 -0.55829  1.61132 -1.11567
30 -3.6956 -0.55829  1.61132 -1.11567
40 -3.94442 -0.309471  1.61881 -1.67709
50 -3.94442 -0.309471  1.61881 -1.67709
60 -3.94442 -0.309471  1.61881 -1.67709
70 -3.94442 -0.309471  1.61881 -1.67709
80 -3.94442 -0.309471  1.61881 -1.67709
90 -3.94442 -0.309471  1.61881 -1.67709
100 -3.94442 -0.309471  1.61881 -1.67709
110 -3.94442 -0.309471  1.61881 -1.67709
120 -3.94442 -0.309471  1.61881 -1.67709
130 -3.94442 -0.309471  1.61881 -1.67709
140 -3.94442 -0.309471  1.61881 -1.67709
150 -3.94442 -0.309471  1.61881 -1.67709
160 -3.94442 -0.309471  1.61881 -1.67709
170 -3.94442 -0.309471  1.61881 -1.67709
180 -3.94442 -0.309471  1.61881 -1.67709
190 -3.94442 -0.309471  1.61881 -1.67709
200 -3.94442 -0.309471  1.61881 -1.67709
210 -3.94442 -0.309471  1.61881 -1.67709
220 -3.94442 -0.309471  1.61881 -1.67709
230 -3.94442 -0.309471  1.61881 -1.67709
240 -3.94442 -0.309471  1.61881 -1.67709
250 -3.94442 -0.309471  1.61881 -1.67709
260 -3.94442 -0.309471  1.61881 -1.67709
270 -3.94442 -0.309471  1.61881 -1.67709
280 -3.94442 -0.309471  1.61881 -1.67709
290 -3.94442 -0.309471  1.61881 -1.67709
300 -3.94442 -0.309471  1.61881 -1.67709
310 -3.94442 -0.309471  1.61881 -1.67709
320 -3.94442 -0.309471  1.61881 -1.67709
330 -3.94442 -0.309471  1.61881 -1.67709
340 -3.94442 -0.309471  1.61881 -1.67709
350 -3.94442 -0.309471  1.61881 -1.67709
360 -3.94442 -0.309471  1.61881 -1.67709
370 -3.94442 -0.309471  1.61881 -1.67709
380 -3.94442 -0.309471  1.61881 -1.67709
390 -3.94442 -0.309471  1.61881 -1.67709
400 -4.04869 -0.205199  1.61877 -1.5896
410 -4.04869 -0.205199  1.61877 -1.5896
420 -4.04869 -0.205199  1.61877 -1.5896
430 -4.04869 -0.205199  1.61877 -1.5896
440 -4.04869 -0.205199  1.61877 -1.5896
450 -4.04869 -0.205199  1.61877 -1.5896
460 -4.04869 -0.205199  1.61877 -1.5896
470 -4.04869 -0.205199  1.61877 -1.5896
480 -4.04869 -0.205199  1.61877 -1.5896
490 -4.04869 -0.205199  1.61877 -1.5896
500 -4.04869 -0.205199  1.61877 -1.5896
10 -2.40398 -1.84991  -1.67359 -0.0530065
20 -2.40398 -1.84991  -1.67359 -0.0530065
30 -3.16072 -1.09317  -0.597779 1.64394
