popSize bias beta 
4 0.2 0.2
10 10.3128 -10.3128  -0.253209 -3.20136
250 0.338385 -0.338385  0.398361 0.423903
260 0.338385 -0.338385  0.398361 0.423903
270 0.338385 -0.338385  0.398361 0.423903
280 0.338385 -0.338385  0.398361 0.423903
290 0.338385 -0.338385  0.398361 0.423903
300 0.338385 -0.338385  0.398361 0.423903
310 0.338385 -0.338385  0.398361 0.423903
320 0.338385 -0.338385  0.398361 0.423903
330 0.338385 -0.338385  0.398361 0.423903
340 0.338385 -0.338385  0.398361 0.423903
350 0.338385 -0.338385  0.398361 0.423903
360 0.338385 -0.338385  0.398361 0.423903
370 0.338385 -0.338385  0.398361 0.423903
380 0.338385 -0.338385  0.398361 0.423903
390 0.338385 -0.338385  0.398361 0.423903
400 0.338385 -0.338385  0.398361 0.423903
410 0.338385 -0.338385  0.398361 0.423903
420 0.338385 -0.338385  0.398361 0.423903
430 0.338385 -0.338385  0.398361 0.423903
440 0.338385 -0.338385  0.398361 0.423903
450 0.338385 -0.338385  0.398361 0.423903
460 0.338385 -0.338385  0.398361 0.423903
470 0.338385 -0.338385  0.398361 0.423903
480 0.338385 -0.338385  0.398361 0.423903
490 0.338385 -0.338385  0.398361 0.423903
500 0.338385 -0.338385  0.398361 0.423903
10 0.248153 -0.248153  -0.49254 -0.0745464
20 0.248153 -0.248153  -0.49254 -0.0745464
30 0.0264058 -0.0264058  0.144391 -0.0745464
40 0.0264058 -0.0264058  0.144391 -0.0745464
50 0.0264058 -0.0264058  0.144391 -0.0745464
60 0.0264058 -0.0264058  0.144391 -0.0745464
70 0.0264058 -0.0264058  0.144391 -0.0745464
80 0.0264058 -0.0264058  0.144391 -0.0745464
90 0.0264058 -0.0264058  0.144391 -0.0745464
100 0.0264058 -0.0264058  0.144391 -0.0745464
110 0.0264058 -0.0264058  0.144391 -0.0745464
120 0.0264058 -0.0264058  0.144391 -0.0745464
130 0.0264058 -0.0264058  0.144391 -0.0745464
140 0.0264058 -0.0264058  0.144391 -0.0745464
150 0.0264058 -0.0264058  0.144391 -0.0745464
160 0.0264058 -0.0264058  0.144391 -0.0745464
170 0.0264058 -0.0264058  0.144391 -0.0745464
180 0.0264058 -0.0264058  0.144391 -0.0745464
190 0.0264058 -0.0264058  0.144391 -0.0745464
200 0.0264058 -0.0264058  0.144391 -0.0745464
210 0.0264058 -0.0264058  0.144391 -0.0745464
220 0.0264058 -0.0264058  0.144391 -0.0745464
230 0.0264058 -0.0264058  0.144391 -0.0745464
240 0.0264058 -0.0264058  0.144391 -0.0745464
250 0.0264058 -0.0264058  0.144391 -0.0745464
260 0.0264058 -0.0264058  0.144391 -0.0745464
270 0.0264058 -0.0264058  0.144391 -0.0745464
280 0.0264058 -0.0264058  0.144391 -0.0745464
290 0.0264058 -0.0264058  0.144391 -0.0745464
300 0.0264058 -0.0264058  0.144391 -0.0745464
310 0.0264058 -0.0264058  0.144391 -0.0745464
320 0.0264058 -0.0264058  0.144391 -0.0745464
330 0.0264058 -0.0264058  0.144391 -0.0745464
340 0.0264058 -0.0264058  0.144391 -0.0745464
350 0.0264058 -0.0264058  0.144391 -0.0745464
360 0.0264058 -0.0264058  0.144391 -0.0745464
370 0.0264058 -0.0264058  0.144391 -0.0745464
380 0.0264058 -0.0264058  0.144391 -0.0745464
390 0.0264058 -0.0264058  0.144391 -0.0745464
400 0.0264058 -0.0264058  0.144391 -0.0745464
410 0.0264058 -0.0264058  0.144391 -0.0745464
420 0.0264058 -0.0264058  0.144391 -0.0745464
