
***********************
Sat Apr  2 17:32:21 2011
EvalFunc: BEREval
***************************************
Goal Solution = 0
***************************************
Problem Bounds:
{50 < x[0] < 100} 
{0.5 < x[1] < 20} 
{0.5 < x[2] < 20} 
{0 < x[3] < 6.283} 
***************************************

The baseline is 0.0144235 This is the baseline. Launch Power = 17.2dbm
popSize nClones suppressionThreshold newPopPercentage errorThreshold 

--> 68: 0.0130325 -0.0130325  98.7663 19.2112 11.4191 0.902683
--> 69: 0.0335544 -0.0335544  60.4785 5.05222 19.0178 0.820956
--> 70: 0.0335544 -0.0335544  60.3242 4.92788 18.9828 0.82262
--> 71: 0.0262954 -0.0262954  60.0879 5.00212 19.1806 0.794607
--> 72: 0.0335544 -0.0335544  60.3625 4.93495 18.8565 0.8236
--> 73: 0.016709 -0.016709  57.7991 0.822543 4.72019 0.965193
--> 74: 0.0167028 -0.0167028  57.9283 0.829635 4.75404 0.889094
--> 75: 0.0169903 -0.0169903  58.1073 0.901547 4.61547 0.956034
--> 76: 0.022456 -0.022456  57.475 0.841398 4.9446 0.853851
--> 77: 0.00181852 -0.00181852  88.8548 14.5031 13.093 0.72792
--> 78: 0.00179407 -0.00179407  88.9608 14.9149 13.2753 0.777373
--> 79: 0.00180724 -0.00180724  88.806 14.6951 13.1273 0.73916
--> 80: 0.00181775 -0.00181775  89.3319 14.7917 13.261 0.724866
--> 81: 0.0165091 -0.0165091  90.7233 3.96497 0.811273 5.78438
--> 82: 0.00691047 -0.00691047  70.6095 11.2328 15.3884 6.23207
--> 83: 0.00145672 -0.00145672  57.7843 18.5542 14.7664 2.69007
--> 84: 0.00168064 -0.00168064  58.0174 18.6254 14.5045 2.6632
--> 85: 0.00158189 -0.00158189  58.4047 18.6006 14.7894 2.50814
--> 86: 0.001522 -0.001522  57.4225 18.5707 14.7733 2.60939
--> 87: 0.00195085 -0.00195085  88.3189 15.2025 13.0907 0.772269
--> 88: 0.00173886 -0.00173886  88.6171 14.7201 13.1905 0.884202
--> 89: 0.00163037 -0.00163037  88.2735 14.6243 13.2361 0.836445
--> 90: 0.00195816 -0.00195816  89.371 14.9628 13.2168 0.822422
--> 91: 0.0166934 -0.0166934  57.9524 0.928367 4.75609 0.915565
--> 92: 0.0166921 -0.0166921  57.9248 0.873364 4.72614 0.903109
--> 93: 0.0172405 -0.0172405  58.1809 0.755682 4.68549 0.947514
--> 94: 0.0166925 -0.0166925  57.9658 0.954811 4.75047 0.89282
--> 95: 0.0335544 -0.0335544  60.0354 5.01001 19.074 0.812372
--> 96: 0.0335544 -0.0335544  60.2724 4.99448 18.9893 0.795444
--> 97: 0.0335544 -0.0335544  60.2432 5.09668 19.0651 0.815682
--> 98: 0.0335544 -0.0335544  60.1151 5.07771 18.9974 0.828828
--> 99: 0.0165067 -0.0165067  90.5216 3.90969 0.741248 5.76335
--> 100: 0.0164372 -0.0164372  90.6279 3.9042 0.857377 5.76136
--> 1: 0.0226832 -0.0226832  57.9134 11.1241 19.8479 4.96056
--> 2: 0.0335544 -0.0335544  79.9539 19.6165 5.39306 5.20087
--> 3: 0.015381 -0.015381  90.2192 13.6908 9.21562 1.67121
--> 4: 0.0202474 -0.0202474  73.3291 7.55496 17.3013 0.25379
--> 5: 0.00394227 -0.00394227  57.0164 18.573 17.3045 3.6603
--> 6: 0.00280065 -0.00280065  81.4361 18.1655 13.7114 4.06761
--> 7: 0.0218508 -0.0218508  57.9401 11.3908 19.7875 4.9529
--> 8: 0.0233334 -0.0233334  57.6532 11.0353 19.9442 4.98168
--> 9: 0.0232273 -0.0232273  57.728 11.054 19.9788 4.93759
--> 10: 0.0229614 -0.0229614  57.866 11.0029 19.856 4.90825
--> 11: 0.0335544 -0.0335544  79.9915 19.4959 5.34277 5.20124
--> 12: 0.00608302 -0.00608302  79.8738 19.5195 5.46139 5.1723
--> 13: 0.0335544 -0.0335544  79.8856 19.614 5.42306 5.20701
--> 14: 0.0335544 -0.0335544  79.9681 19.5709 5.46452 5.17431
--> 15: 0.0156222 -0.0156222  90.5517 13.6348 9.2361 1.61904
--> 16: 0.0166603 -0.0166603  90.1813 13.7648 9.04312 1.61678
--> 17: 0.0170929 -0.0170929  89.5805 13.4822 8.96569 1.74321
--> 18: 0.0146596 -0.0146596  90.0451 13.6904 9.32384 1.73559
--> 19: 0.0213085 -0.0213085  72.8402 7.45505 17.3301 0.218516
--> 20: 0.0198632 -0.0198632  73.5498 7.59065 17.2369 0.18784
