
***********************
Mon Apr  4 00:53:27 2011
EvalFunc: BEREval
***************************************
Goal Solution = 0
***************************************
Problem Bounds:
{50 < x[0] < 100} 
{0.5 < x[1] < 20} 
{0.5 < x[2] < 20} 
{0 < x[3] < 6.283} 
***************************************

The baseline is 0.0138514 This is the baseline. Launch Power = 17.2dbm
popSize bias beta 

--> 68: 0.00144762 -0.00144762  84.2755 16.0842 14.9245 4.82737
--> 69: 0.00741464 -0.00741464  70.0764 18.874 19.3269 1.25958
--> 70: 0.00250502 -0.00250502  83.9809 9.56056 11.7939 1.55934
--> 71: 0.00814618 -0.00814618  84.6722 2.45114 4.57115 3.88117
--> 72: 0.003632 -0.003632  96.3357 18.4547 16.049 6.24369
--> 73: 0.00747062 -0.00747062  91.636 6.56212 7.29851 4.89754
--> 74: 0.00747828 -0.00747828  85.1586 2.09462 5.77103 1.60118
--> 75: 0.00724118 -0.00724118  80.8131 3.3572 5.77221 3.08762
--> 76: 0.00247312 -0.00247312  92.0057 10.8838 11.8106 3.31293
--> 77: 0.00491896 -0.00491896  93.9351 9.59848 10.4296 3.87987
--> 78: 0.0019744 -0.0019744  84.2879 16.0252 17.3345 1.04519
--> 79: 0.00156646 -0.00156646  89.3719 14.3437 13.3216 5.22732
--> 80: 0.00616133 -0.00616133  81.1992 4.76476 7.05691 2.86069
--> 81: 0.00152659 -0.00152659  83.9183 11.7035 12.8224 2.6298
--> 82: 0.00149085 -0.00149085  87.4424 15.629 14.7026 4.66038
--> 83: 0.00285802 -0.00285802  81.8037 9.34816 11.6943 1.41145
--> 84: 0.00152919 -0.00152919  83.6833 11.4418 12.6971 2.49443
--> 85: 0.00440792 -0.00440792  80.1591 7.51624 10.8169 0.463844
--> 86: 0.00416981 -0.00416981  79.9242 7.25453 10.6915 0.328472
--> 87: 0.00118613 -0.00118613  86.5026 14.5822 14.2012 4.11889
--> 88: 0.00152316 -0.00152316  83.6833 11.4418 12.6971 2.49443
--> 89: 0.00122059 -0.00122059  86.6906 14.7916 14.3015 4.22719
--> 90: 0.00183422 -0.00183422  88.1943 16.4665 15.1037 5.09357
--> 91: 0.00139403 -0.00139403  84.2472 12.0699 12.9979 2.81932
--> 92: 0.00158665 -0.00158665  83.4953 11.2324 12.5968 2.38613
--> 93: 0.00118126 -0.00118126  85.7508 13.7448 13.8001 3.6857
--> 94: 0.00134025 -0.00134025  84.4351 12.2792 13.0982 2.92762
--> 95: 0.00273455 -0.00273455  89.5099 17.932 15.8056 5.85166
--> 96: 0.00152836 -0.00152836  83.4953 11.2324 12.5968 2.38613
--> 97: 0.00391012 -0.00391012  80.4881 7.88262 10.9924 0.653365
--> 98: 0.00129221 -0.00129221  86.841 14.9591 14.3817 4.31383
--> 99: 0.00123722 -0.00123722  85.9388 13.9541 13.9004 3.794
--> 100: 0.00145503 -0.00145503  87.2545 15.4197 14.6023 4.55208
--> 1: 0.00390445 -0.00390445  53.1603 17.5738 16.5361 0.0768116
--> 2: 0.0335544 -0.0335544  53.5667 12.9121 1.06736 1.34717
--> 3: 0.00180199 -0.00180199  61.4889 16.9894 13.7097 4.60734
--> 4: 0.00101007 -0.00101007  88.7661 12.7882 15.2235 6.01114
--> 5: 0.0335544 -0.0335544  69.0985 17.7237 5.01755 3.06723
--> 6: 0.0183309 -0.0183309  57.0312 1.87711 6.97776 3.55346
--> 7: 0.0152838 -0.0152838  50.8227 18.8683 19.5065 3.40926
--> 8: 0.013572 -0.013572  94.2897 1.63979 1.29552 1.03364
--> 9: 0.0198096 -0.0198096  99.7354 8.23407 2.37666 2.97337
--> 10: 0.0118588 -0.0118588  64.7624 16.1262 8.74708 0.00198177
--> 11: 0.00549834 -0.00549834  85.1107 5.40022 7.7485 5.43267
--> 12: 0.0165536 -0.0165536  94.3923 4.24217 1.51727 5.37281
--> 13: 0.00684951 -0.00684951  91.6708 2.33031 5.26566 4.71793
--> 14: 0.0165892 -0.0165892  67.8591 3.56888 1.10039 2.7833
--> 15: 0.0254143 -0.0254143  82.3391 14.2282 3.02018 3.66764
--> 16: 0.0120161 -0.0120161  98.0478 11.6301 8.99228 5.95128
--> 17: 0.0102107 -0.0102107  63.2889 8.76115 6.53749 4.30963
--> 18: 0.00194151 -0.00194151  82.1033 13.2557 17.4846 2.38672
--> 19: 0.0173047 -0.0173047  63.3782 4.05933 8.62691 4.04499
--> 20: 0.00107953 -0.00107953  83.9654 13.4558 13.9282 4.80931
--> 21: 0.00375089 -0.00375089  62.442 16.4157 10.3049 0.0169477
--> 22: 0.0179662 -0.0179662  70.7706 15.8313 7.47851 4.54748
--> 23: 0.0217677 -0.0217677  71.4253 15.6587 6.48598 3.6264
--> 24: 0.0177247 -0.0177247  52.2072 18.1474 19.941 4.6672
--> 25: 0.00189468 -0.00189468  62.1436 16.8167 12.7172 3.68627
--> 26: 0.00529441 -0.00529441  64.1077 16.2988 9.73961 0.923053
--> 27: 0.00170586 -0.00170586  55.4808 17.2843 14.9783 0.0618457
--> 28: 0.0079655 -0.0079655  51.304 17.8054 17.7824 0.0887844
--> 29: 0.00143386 -0.00143386  57.3371 17.0526 13.7321 0.0498729
