popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
280 -4.71124 -14.4973  -4.87919 -6.52751
290 -4.71124 -14.4973  -4.87919 -6.52751
300 -4.71124 -14.4973  -4.87919 -6.52751
310 -4.71124 -14.4973  -4.87919 -6.52751
320 -4.71124 -14.4973  -4.87919 -6.52751
330 -4.71124 -14.4973  -4.87919 -6.52751
340 -4.71124 -14.4973  -4.87919 -6.52751
350 -4.71124 -14.4973  -4.87919 -6.52751
360 -4.71124 -14.4973  -4.87919 -6.52751
370 -4.71124 -14.4973  -4.87919 -6.52751
380 -4.71124 -14.4973  -4.87919 -6.52751
390 -4.71124 -14.4973  -4.87919 -6.52751
400 -4.71124 -14.4973  -4.87919 -6.52751
410 -4.71124 -14.4973  -4.87919 -6.52751
420 -4.71124 -14.4973  -4.87919 -6.52751
430 -4.71124 -14.4973  -4.87919 -6.52751
440 -4.71124 -14.4973  -4.87919 -6.52751
450 -4.71124 -14.4973  -4.87919 -6.52751
460 -4.71124 -14.4973  -4.87919 -6.52751
470 -4.71124 -14.4973  -4.87919 -6.52751
480 -4.71124 -14.4973  -4.87919 -6.52751
490 -4.71124 -14.4973  -4.87919 -6.52751
500 -4.71124 -14.4973  -4.87919 -6.52751
10 -3.74198 -15.4665  -5.58849 -8.52248
20 -3.74198 -15.4665  -5.58849 -8.52248
30 -4.50875 -14.6998  -5.28019 -8.49938
40 -10.3685 -8.83999  -4.9062 -9.34839
50 -10.9042 -8.30431  -4.92102 -9.54515
60 -11.0364 -8.17211  -4.92948 -9.68596
70 -11.0364 -8.17211  -4.92948 -9.68596
80 -11.0365 -8.17203  -4.92949 -9.68644
90 -11.0365 -8.17203  -4.92949 -9.68644
100 -11.0365 -8.17203  -4.92949 -9.68644
110 -11.0365 -8.17203  -4.92949 -9.68644
120 -11.0365 -8.17203  -4.92949 -9.68644
130 -11.0365 -8.17203  -4.92949 -9.68644
140 -11.0655 -8.14303  -4.84309 -9.67812
150 -11.0669 -8.14155  -4.85352 -9.68116
160 -11.067 -8.14153  -4.85604 -9.68132
170 -11.067 -8.14153  -4.85604 -9.68132
180 -11.067 -8.14153  -4.85604 -9.68132
190 -11.067 -8.14153  -4.85604 -9.68132
200 -11.067 -8.14153  -4.85604 -9.68132
210 -11.067 -8.14153  -4.85604 -9.68132
220 -11.067 -8.14153  -4.85604 -9.68132
230 -11.067 -8.14153  -4.85604 -9.68132
240 -11.067 -8.14153  -4.85604 -9.68132
250 -11.067 -8.14153  -4.85604 -9.68132
260 -11.067 -8.14153  -4.85604 -9.68132
270 -11.067 -8.14153  -4.85604 -9.68132
280 -11.067 -8.14153  -4.85604 -9.68132
290 -11.067 -8.14153  -4.85604 -9.68132
300 -11.067 -8.14153  -4.85604 -9.68132
310 -11.067 -8.14153  -4.85604 -9.68132
320 -11.067 -8.14153  -4.85604 -9.68132
330 -11.067 -8.14153  -4.85604 -9.68132
340 -11.067 -8.14153  -4.85604 -9.68132
350 -11.067 -8.14153  -4.85604 -9.68132
360 -11.067 -8.14153  -4.85604 -9.68132
370 -11.067 -8.14153  -4.85604 -9.68132
380 -11.067 -8.14153  -4.85604 -9.68132
10 -10.1691 -9.03944  5.01146 9.32502
20 -10.1691 -9.03944  5.01146 9.32502
30 -10.2942 -8.91425  4.95108 9.33741
40 -10.8911 -8.31736  4.9652 9.56296
50 -10.973 -8.23551  4.97801 9.65822
60 -10.9746 -8.23393  4.97683 9.65813
70 -10.9747 -8.23379  4.97672 9.65809
80 -10.9747 -8.23379  4.97672 9.65809
90 -10.9983 -8.21019  4.74316 9.67588
100 -11.0348 -8.17366  4.77803 9.67953
110 -11.0375 -8.17104  4.77744 9.69828
120 -11.0375 -8.17095  4.77773 9.69595
130 -11.0376 -8.17089  4.77768 9.69738
140 -11.0377 -8.17082  4.77772 9.69792
150 -11.0377 -8.17082  4.77772 9.69792
160 -11.0377 -8.17082  4.77772 9.69792
170 -11.0377 -8.17082  4.77772 9.69792
180 -11.0575 -8.15102  4.81463 9.67783
190 -11.0607 -8.14779  4.82898 9.67207
200 -11.0607 -8.14779  4.82898 9.67207
210 -11.0607 -8.14779  4.82898 9.67207
220 -11.0607 -8.14779  4.82898 9.67207
230 -11.0607 -8.14779  4.82898 9.67207
240 -11.0607 -8.14779  4.82898 9.67207
250 -11.0607 -8.14779  4.82898 9.67207
260 -11.0607 -8.14779  4.82898 9.67207
270 -11.0607 -8.14779  4.82898 9.67207
280 -11.0607 -8.14779  4.82898 9.67207
290 -11.0607 -8.14779  4.82898 9.67207
300 -11.0607 -8.14779  4.82898 9.67207
310 -11.0607 -8.14779  4.82898 9.67207
320 -11.0607 -8.14779  4.82898 9.67207
330 -11.0607 -8.14779  4.82898 9.67207
340 -11.0607 -8.14779  4.82898 9.67207
350 -11.0607 -8.14779  4.82898 9.67207
360 -11.0607 -8.14779  4.82898 9.67207
10 -1.82728 -17.3812  7.75024 -1.14562
20 -1.82728 -17.3812  7.75024 -1.14562
30 -3.96549 -15.243  7.63822 -0.249814
40 -4.49368 -14.7148  8.13744 -0.309583
50 -4.49368 -14.7148  8.13744 -0.309583
60 -4.49368 -14.7148  8.13744 -0.309583
70 -4.70478 -14.5037  8.11444 0.0061846
80 -4.70636 -14.5021  8.1232 -0.0140992
90 -4.7068 -14.5017  8.1232 0.00134822
100 -4.7068 -14.5017  8.1232 0.00134822
110 -4.7068 -14.5017  8.1232 0.00134822
120 -4.7068 -14.5017  8.1232 0.00134822
130 -4.7068 -14.5017  8.1232 0.00134822
140 -4.7068 -14.5017  8.1232 0.00134822
150 -4.7068 -14.5017  8.1232 0.00134822
160 -4.7068 -14.5017  8.1232 0.00134822
170 -4.7068 -14.5017  8.1232 0.00134822
180 -4.7068 -14.5017  8.1232 0.00134822
190 -4.7068 -14.5017  8.1232 0.00134822
200 -4.7068 -14.5017  8.1232 0.00134822
210 -4.7068 -14.5017  8.1232 0.00134822
220 -4.7068 -14.5017  8.1232 0.00134822
230 -4.7068 -14.5017  8.1232 0.00134822
240 -4.7068 -14.5017  8.1232 0.00134822
250 -4.7068 -14.5017  8.1232 0.00134822
260 -4.7068 -14.5017  8.1232 0.00134822
270 -4.7068 -14.5017  8.1232 0.00134822
280 -4.7068 -14.5017  8.1232 0.00134822
290 -4.7068 -14.5017  8.1232 0.00134822
