popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
180 0.00390771 -0.00390771  -0.0306234 -0.0544969
190 0.00390771 -0.00390771  -0.0306234 -0.0544969
200 0.00390771 -0.00390771  -0.0306234 -0.0544969
210 0.00390771 -0.00390771  -0.0306234 -0.0544969
220 0.000877289 -0.000877289  0.00643436 -0.0289117
230 0.000847735 -0.000847735  0.00229384 -0.0290254
240 0.000836637 -0.000836637  0.00047777 -0.0289207
250 0.000836637 -0.000836637  0.00047777 -0.0289207
260 0.000836637 -0.000836637  0.00047777 -0.0289207
270 0.000836637 -0.000836637  0.00047777 -0.0289207
280 0.000836637 -0.000836637  0.00047777 -0.0289207
290 0.000836637 -0.000836637  0.00047777 -0.0289207
300 0.000836637 -0.000836637  0.00047777 -0.0289207
310 0.000836637 -0.000836637  0.00047777 -0.0289207
320 0.000836637 -0.000836637  0.00047777 -0.0289207
330 0.000836637 -0.000836637  0.00047777 -0.0289207
340 0.000836637 -0.000836637  0.00047777 -0.0289207
350 0.000836637 -0.000836637  0.00047777 -0.0289207
360 0.000836637 -0.000836637  0.00047777 -0.0289207
370 0.000836637 -0.000836637  0.00047777 -0.0289207
380 0.000836637 -0.000836637  0.00047777 -0.0289207
390 0.000836637 -0.000836637  0.00047777 -0.0289207
400 0.000836637 -0.000836637  0.00047777 -0.0289207
410 0.000836637 -0.000836637  0.00047777 -0.0289207
420 0.000836637 -0.000836637  0.00047777 -0.0289207
430 0.000836637 -0.000836637  0.00047777 -0.0289207
440 0.000836637 -0.000836637  0.00047777 -0.0289207
450 0.000836637 -0.000836637  0.00047777 -0.0289207
460 0.000836637 -0.000836637  0.00047777 -0.0289207
470 0.000836637 -0.000836637  0.00047777 -0.0289207
480 0.000836637 -0.000836637  0.00047777 -0.0289207
490 0.000836637 -0.000836637  0.00047777 -0.0289207
500 0.000836637 -0.000836637  0.00047777 -0.0289207
10 32.4389 -32.4389  5.52764 -1.37263
20 28.4802 -28.4802  5.25621 0.923291
30 28.4619 -28.4619  5.25931 0.895305
40 15.6358 -15.6358  3.92614 0.470353
50 5.35192 -5.35192  2.0143 1.13776
60 5.14846 -5.14846  2.04723 0.978418
70 2.62494 -2.62494  1.22972 1.05487
80 1.26918 -1.26918  1.07987 0.321008
90 1.26918 -1.26918  1.07987 0.321008
100 0.337256 -0.337256  0.439118 0.380042
110 0.297487 -0.297487  0.36677 0.403691
120 0.2963 -0.2963  0.374252 0.395265
130 0.2963 -0.2963  0.374252 0.395265
140 0.131247 -0.131247  0.34868 0.098335
150 0.131247 -0.131247  0.34868 0.098335
160 0.0689379 -0.0689379  0.202555 0.167061
170 0.0689379 -0.0689379  0.202555 0.167061
180 0.0190071 -0.0190071  0.0580156 0.125065
190 0.0190071 -0.0190071  0.0580156 0.125065
200 0.0190071 -0.0190071  0.0580156 0.125065
210 0.0190071 -0.0190071  0.0580156 0.125065
220 0.0190071 -0.0190071  0.0580156 0.125065
230 0.0190071 -0.0190071  0.0580156 0.125065
240 0.0190071 -0.0190071  0.0580156 0.125065
250 0.0190071 -0.0190071  0.0580156 0.125065
260 0.0190071 -0.0190071  0.0580156 0.125065
270 0.0190071 -0.0190071  0.0580156 0.125065
280 0.0190071 -0.0190071  0.0580156 0.125065
290 0.0190071 -0.0190071  0.0580156 0.125065
300 0.0190071 -0.0190071  0.0580156 0.125065
310 0.0190071 -0.0190071  0.0580156 0.125065
320 0.0190071 -0.0190071  0.0580156 0.125065
330 0.0190071 -0.0190071  0.0580156 0.125065
340 0.0190071 -0.0190071  0.0580156 0.125065
350 0.0190071 -0.0190071  0.0580156 0.125065
360 0.0190071 -0.0190071  0.0580156 0.125065
370 0.0190071 -0.0190071  0.0580156 0.125065
380 0.0190071 -0.0190071  0.0580156 0.125065
390 0.0190071 -0.0190071  0.0580156 0.125065
400 0.0190071 -0.0190071  0.0580156 0.125065
410 0.0190071 -0.0190071  0.0580156 0.125065
420 0.0190071 -0.0190071  0.0580156 0.125065
430 0.0190071 -0.0190071  0.0580156 0.125065
440 0.000584742 -0.000584742  -0.0161665 -0.0179829
