popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 3.7937 -3.7937  0.884906 1.01525
190 0.0770819 -0.0770819  -0.00277233 0.0223329
200 0.0770819 -0.0770819  -0.00277233 0.0223329
210 0.0770819 -0.0770819  -0.00277233 0.0223329
220 0.0770819 -0.0770819  -0.00277233 0.0223329
230 0.0770819 -0.0770819  -0.00277233 0.0223329
240 0.0770819 -0.0770819  -0.00277233 0.0223329
250 0.0770819 -0.0770819  -0.00277233 0.0223329
260 0.0770819 -0.0770819  -0.00277233 0.0223329
270 0.0770819 -0.0770819  -0.00277233 0.0223329
280 0.0770819 -0.0770819  -0.00277233 0.0223329
290 0.0770819 -0.0770819  -0.00277233 0.0223329
300 0.0770819 -0.0770819  -0.00277233 0.0223329
310 0.0770819 -0.0770819  -0.00277233 0.0223329
320 0.0770819 -0.0770819  -0.00277233 0.0223329
330 0.0770819 -0.0770819  -0.00277233 0.0223329
340 0.0770819 -0.0770819  -0.00277233 0.0223329
350 0.0770819 -0.0770819  -0.00277233 0.0223329
360 0.0770819 -0.0770819  -0.00277233 0.0223329
370 0.0770819 -0.0770819  -0.00277233 0.0223329
380 0.0770819 -0.0770819  -0.00277233 0.0223329
390 0.0770819 -0.0770819  -0.00277233 0.0223329
400 0.0770819 -0.0770819  -0.00277233 0.0223329
410 0.0770819 -0.0770819  -0.00277233 0.0223329
420 0.0770819 -0.0770819  -0.00277233 0.0223329
430 0.0770819 -0.0770819  -0.00277233 0.0223329
440 0.0770819 -0.0770819  -0.00277233 0.0223329
450 0.0770819 -0.0770819  -0.00277233 0.0223329
460 0.0770819 -0.0770819  -0.00277233 0.0223329
470 0.0770819 -0.0770819  -0.00277233 0.0223329
480 0.0770819 -0.0770819  -0.00277233 0.0223329
490 0.0770819 -0.0770819  -0.00277233 0.0223329
500 0.0770819 -0.0770819  -0.00277233 0.0223329
10 7.83193 -7.83193  -2.41154 0.90826
20 3.99415 -3.99415  0.0651964 1.19951
30 3.31581 -3.31581  -0.022798 1.12384
40 2.67834 -2.67834  0.0308512 1.0055
50 2.67834 -2.67834  0.0308512 1.0055
60 2.67834 -2.67834  0.0308512 1.0055
70 2.60433 -2.60433  -0.0298754 0.951205
80 2.604 -2.604  -0.0294651 0.95554
90 2.60389 -2.60389  -0.0296058 0.951405
100 2.60376 -2.60376  -0.0295093 0.952695
110 2.60375 -2.60375  -0.0295189 0.952125
120 2.60374 -2.60374  -0.0295106 0.952204
130 2.60374 -2.60374  -0.0295106 0.952204
140 2.60374 -2.60374  -0.0295106 0.952204
150 2.60374 -2.60374  -0.0295106 0.952204
160 2.60374 -2.60374  -0.0295106 0.952204
170 2.60374 -2.60374  -0.0295106 0.952204
180 2.60374 -2.60374  -0.0295106 0.952204
190 2.60374 -2.60374  -0.0295106 0.952204
200 2.60374 -2.60374  -0.0295106 0.952204
210 2.60374 -2.60374  -0.0295106 0.952204
220 2.60374 -2.60374  -0.0295106 0.952204
230 2.60374 -2.60374  -0.0295106 0.952204
240 2.60374 -2.60374  -0.0295106 0.952204
250 2.60374 -2.60374  -0.0295106 0.952204
260 2.60374 -2.60374  -0.0295106 0.952204
270 2.60374 -2.60374  -0.0295106 0.952204
280 2.60374 -2.60374  -0.0295106 0.952204
290 2.60374 -2.60374  -0.0295106 0.952204
300 2.60374 -2.60374  -0.0295106 0.952204
310 2.60374 -2.60374  -0.0295106 0.952204
320 2.60374 -2.60374  -0.0295106 0.952204
330 2.60374 -2.60374  -0.0295106 0.952204
340 2.60374 -2.60374  -0.0295106 0.952204
350 2.60374 -2.60374  -0.0295106 0.952204
360 2.58175 -2.58175  -0.00757607 0.948908
370 2.58175 -2.58175  -0.00757607 0.948908
380 2.58175 -2.58175  -0.00757607 0.948908
390 2.58175 -2.58175  -0.00757607 0.948908
400 2.58175 -2.58175  -0.00757607 0.948908
410 2.58175 -2.58175  -0.00757607 0.948908
420 2.58175 -2.58175  -0.00757607 0.948908
430 2.58175 -2.58175  -0.00757607 0.948908
440 2.58175 -2.58175  -0.00757607 0.948908
450 2.58175 -2.58175  -0.00757607 0.948908
460 2.58175 -2.58175  -0.00757607 0.948908
470 2.58175 -2.58175  -0.00757607 0.948908
480 2.58175 -2.58175  -0.00757607 0.948908
490 2.58175 -2.58175  -0.00757607 0.948908
500 2.58175 -2.58175  -0.00757607 0.948908
10 9.19847 -9.19847  3.37378 -0.0680748
20 6.25192 -6.25192  -1.4515 -0.715716
30 3.21079 -3.21079  -0.096826 -0.762475
40 2.97119 -2.97119  0.0351642 -0.458042
50 2.92868 -2.92868  0.116165 -0.971556
60 2.32972 -2.32972  -0.225934 -0.206175
70 0.170727 -0.170727  0.0408588 0.0137505
80 0.0734143 -0.0734143  0.0202418 0.00749545
90 0.0576108 -0.0576108  0.0152408 -0.00858752
100 0.0407275 -0.0407275  0.0104267 -0.00750563
110 0.0328615 -0.0328615  0.0105659 0.000205818
120 0.0328615 -0.0328615  0.0105659 0.000205818
130 0.0328615 -0.0328615  0.0105659 0.000205818
140 0.0328615 -0.0328615  0.0105659 0.000205818
150 0.0328615 -0.0328615  0.0105659 0.000205818
160 0.0328615 -0.0328615  0.0105659 0.000205818
170 0.0328615 -0.0328615  0.0105659 0.000205818
180 0.0328615 -0.0328615  0.0105659 0.000205818
190 0.0328615 -0.0328615  0.0105659 0.000205818
200 0.0328615 -0.0328615  0.0105659 0.000205818
210 0.0328615 -0.0328615  0.0105659 0.000205818
220 0.0328615 -0.0328615  0.0105659 0.000205818
230 0.0328615 -0.0328615  0.0105659 0.000205818
240 0.0328615 -0.0328615  0.0105659 0.000205818
250 0.0328615 -0.0328615  0.0105659 0.000205818
260 0.0328615 -0.0328615  0.0105659 0.000205818
270 0.0328615 -0.0328615  0.0105659 0.000205818
