
***********************
Sun Apr  3 19:08:34 2011
EvalFunc: BEREval
***************************************
Goal Solution = 0
***************************************
Problem Bounds:
{50 < x[0] < 100} 
{0.5 < x[1] < 20} 
{0.5 < x[2] < 20} 
{0 < x[3] < 6.283} 
***************************************

The baseline is 0.0138657 This is the baseline. Launch Power = 17.2dbm
popSize bias beta 

--> 68: 0.00209623 -0.00209623  68.9242 16.4649 11.9691 4.45848
--> 69: 0.00110661 -0.00110661  86.7744 14.7423 15.8244 3.82661
--> 70: 0.00121994 -0.00121994  76.2774 14.4839 15.7232 5.83166
--> 71: 0.0168535 -0.0168535  81.9245 14.6849 8.41745 4.49593
--> 72: 0.00741229 -0.00741229  53.6711 14.8571 16.687 4.45848
--> 73: 0.00445876 -0.00445876  63.5252 13.9169 16.687 3.1653
--> 74: 0.0012235 -0.0012235  67.8035 14.7423 13.9267 3.0204
--> 75: 0.00139145 -0.00139145  82.132 11.2971 14.1774 6.00835
--> 76: 0.00186088 -0.00186088  97.6295 14.7423 17.0919 5.33904
--> 77: 0.00245279 -0.00245279  58.521 14.2829 12.3739 3.78916
--> 78: 0.0012312 -0.0012312  92.7796 14.0246 16.687 6.00835
--> 79: 0.00120172 -0.00120172  81.9114 13.9169 16.687 6.0636
--> 80: 0.00112788 -0.00112788  74.7445 15.1442 15.0331 4.58807
--> 81: 0.00215859 -0.00215859  56.2965 15.3165 11.7184 2.19771
--> 82: 0.00140465 -0.00140465  92.7796 14.7423 16.687 4.49593
--> 83: 0.00164616 -0.00164616  63.3709 14.7423 11.9691 1.55218
--> 84: 0.00512927 -0.00512927  67.8035 13.8236 17.9315 5.79331
--> 85: 0.00131954 -0.00131954  99.6195 12.4455 16.687 5.00704
--> 86: 0.00187162 -0.00187162  63.5252 14.0246 11.8679 4.26296
--> 87: 0.00129189 -0.00129189  78.0052 15.3165 15.5737 4.15861
--> 88: 0.00102114 -0.00102114  89.1225 12.6522 14.0076 4.77362
--> 89: 0.00204183 -0.00204183  53.3754 15.6381 12.6035 1.88417
--> 90: 0.00173061 -0.00173061  84.675 14.4839 17.2414 5.22249
--> 91: 0.00140555 -0.00140555  53.7321 17.3607 13.2936 1.83998
--> 92: 0.00186479 -0.00186479  86.7744 10.3554 15.8244 6.02776
--> 93: 0.00323788 -0.00323788  56.2965 15.1442 15.0331 3.4413
--> 94: 0.00138317 -0.00138317  57.5274 16.4144 13.8619 2.87196
--> 95: 0.00108527 -0.00108527  92.7796 14.2313 15.2498 5.01348
--> 96: 0.00106257 -0.00106257  71.6834 14.4839 13.6028 5.83166
--> 97: 0.00159912 -0.00159912  86.5535 13.2769 12.5542 3.74164
